RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
5494,130044000,1992-07-06T00:00:00.000Z,0,292:491
5495,130045000,2004-08-10T00:00:00.000Z,300000,990:124
5496,130045000,1976-05-14T00:00:00.000Z,54500,0:0
5497,130045000,1986-11-14T00:00:00.000Z,0,486:516
5498,130045100,1990-01-23T00:00:00.000Z,0,538:712
5499,130045100,1985-04-16T00:00:00.000Z,0,0:0
5500,130045100,2000-07-12T00:00:00.000Z,180000,785:790
5501,130045200,2005-06-23T00:00:00.000Z,0,1035:255
5502,130045200,2005-06-21T00:00:00.000Z,0,1034:672
5503,130045200,2014-11-17T00:00:00.000Z,422000,2014:3983
5504,130045200,2005-06-21T00:00:00.000Z,0,1034:668
5505,130045200,2001-01-31T00:00:00.000Z,219950,799:557
5506,130045200,1991-07-01T00:00:00.000Z,144000,562:111
5507,130045200,1990-07-05T00:00:00.000Z,140000,0:0
5508,130046000,2007-03-09T00:00:00.000Z,376000,1130:283
5509,130046000,2000-07-13T00:00:00.000Z,0,785:814
5510,130046000,1991-11-05T00:00:00.000Z,0,140:291
5511,130047000,2008-02-15T00:00:00.000Z,0,1176:568
5512,130047000,2000-09-20T00:00:00.000Z,230000,791:31
5513,130047000,1994-12-27T00:00:00.000Z,0,645:71
5514,130047000,1988-05-17T00:00:00.000Z,122500,0:0
5515,130048000,1978-03-03T00:00:00.000Z,82500,391:173
5516,130048000,1995-12-29T00:00:00.000Z,0,664:772
5517,130049000,1993-09-02T00:00:00.000Z,0,610:819
5518,130049000,1971-08-30T00:00:00.000Z,35000,329:365
5519,130050000,2001-03-28T00:00:00.000Z,250000,804:56
5520,130050000,1997-03-31T00:00:00.000Z,164000,690:543
5521,130050000,1991-03-26T00:00:00.000Z,0,0:0
5522,130050000,2005-09-30T00:00:00.000Z,464000,1049:359
5523,130050100,2011-02-09T00:00:00.000Z,0,W2011:445
5524,130050100,1985-05-03T00:00:00.000Z,84000,462:644
5525,130050100,1975-05-30T00:00:00.000Z,39000,0:0
5526,130050100,2013-12-20T00:00:00.000Z,293000,2013:6087
5527,130050100,2011-02-09T00:00:00.000Z,0,2011:577
5528,130051000,2002-05-10T00:00:00.000Z,375000,851:930
5529,130051000,1986-05-20T00:00:00.000Z,123500,477:584
5530,130051000,1978-10-18T00:00:00.000Z,79000,0:0
5531,130051100,2003-08-01T00:00:00.000Z,310000,925:352
5532,130051100,1998-01-22T00:00:00.000Z,0,711:107
5533,130051100,1998-02-19T00:00:00.000Z,0,712:837
5534,130051100,1992-09-21T00:00:00.000Z,135000,588:230
5535,130053000,2009-07-29T00:00:00.000Z,0,2009:3220
5536,130053000,2015-02-25T00:00:00.000Z,0,2015:536
5537,130053000,2014-05-15T00:00:00.000Z,0,W2014:209
5538,130053000,1976-06-03T00:00:00.000Z,0,WB20:378
